0,0,-105.8217,-104.7203,-104.0112,-2.924514,-104.8811,-112.5562,-100.8185,-34.60939,17.59011,31.99825,-9.739253,-81.44547,-124.6381,-111.1261,-108.6294,-111.1329,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,-106.6842,-108.1964,32.21283,-37.96597,0.2609915,0.2454136,0.2611665,-1.303744,0.5177578,0.1301466,-0.1313979,0.4040906,0.1279513,-1.002252,1.203984E-06,0.112969,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1,10,-109.1887,-109.6782,-111.2731,-1.949696,-114.295,-122.676,-107.0717,-35.98866,17.09464,32.12132,-11.75676,-84.59735,-132.3747,-112.9164,-110.2987,-109.5661,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,10,-104.4002,-104.7746,31.03431,-38.61145,-0.001649457,-1.227228,0.2611665,1.043045,-0.6470464,0.2589166,-0.7883748,-0.2694451,0.2559332,0.2227498,-0.1204465,-0.6782023,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2,20,-113.8784,-114.2536,-114.3501,-2.680809,-109.3467,-114.5308,-104.1365,-35.11094,17.21851,32.98281,-10.09528,-81.3194,-125.3522,-111.7229,-110.6563,-113.6639,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,20,-112.1926,-111.6182,32.08188,-39.90241,-0.9208933,-0.1227485,-0.5224293,2.88956E-05,0.2589127,-0.7712445,-0.7883748,0.5387971,0.7678589,-0.1113412,-0.1204465,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
3,30,-112.1949,-111.3519,-109.4269,-2.924514,-112.6053,-122.4292,-107.965,-36.99176,17.46624,31.50597,-10.92602,-86.11025,-132.0176,-116.6164,-112.4448,-111.4945,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,30,-110.8491,-113.4608,32.08188,-38.99874,0.1296714,0.6135725,-0.3918292,-0.1303513,-0.2587778,-1.028785,0.1313947,0.134676,-2.88956E-05,0.2227498,1.203984E-06,0.3390193,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,40,-109.9101,-111.8355,-112.3808,-2.071548,-111.0364,-115.8883,-103.6261,-33.60629,18.82877,32.85974,-11.63808,-84.47128,-129.042,-109.4551,-107.3179,-106.6736,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,40,-118.9103,-119.778,32.21283,-38.74054,-0.001649457,0.3681332,-3.210623E-05,-1.173367,0.3883345,0.2589166,-0.1313979,0.4040906,-0.3839728,-0.6681595,-1.324925,-5.458059E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
5,50,-106.3027,-110.8683,-111.8885,-2.315253,-108.8639,-114.6542,-104.5194,-36.11404,16.35145,31.50597,-10.68867,-83.46267,-127.9708,-112.6777,-111.014,-112.0971,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,50,-115.8202,-113.724,33.2604,-38.09505,0.5236325,-0.2454682,-0.3918292,2.88956E-05,0.7766031,0.2589166,-3.210623E-06,-3.050092E-05,-0.7679183,-0.2227048,0.240897,0.452046,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
6,60,-111.8341,-110.7474,-109.0576,-2.193401,-109.226,-117.1225,-104.647,-35.36172,18.58103,32.36745,-9.620577,-83.46267,-127.7327,-113.7519,-110.4179,-109.3251,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,6,60,-108.8338,-109.9073,32.34377,-39.77331,-0.1329695,-0.8590181,0.2611665,0.9126677,-0.5176246,0.3876867,-0.6569801,-0.8082727,-0.1280107,0.3341134,-0.9635817,-0.9042526,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
7,70,-107.0241,-108.9338,-114.7194,-2.193401,-110.9157,-114.6542,-104.1177,-33.85707,18.08557,32.73667,-11.63808,-84.3452,-128.923,-110.8874,-108.1525,-108.6019,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,70,-107.3559,-108.0648,32.21283,-39.64421,-0.7895724,0.3681846,0.2611665,0.3911598,0.3883345,-0.2561635,-0.1313979,0.134676,-0.3839728,0.1113861,-0.2408946,0.6780931,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
8,80,-113.1569,-111.4728,-111.2731,-2.071548,-110.1915,-115.3947,-106.542,-35.73788,16.84691,32.49053,-9.264546,-82.07584,-128.923,-117.3325,-114.9487,-118.0027,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,8,80,-107.4903,-105.4326,32.47472,-39.38602,0.5236325,-0.2454168,0.130568,-2.247436E-05,6.742308E-05,0.001376554,0.2627895,-0.4041516,-0.1280107,0.7795697,0.240897,0.9041435,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
9,90,-115.3214,-115.4626,-117.181,-2.071548,-119.3641,-129.834,-112.4112,-38.62179,17.71397,32.36745,-9.739253,-85.60595,-132.8508,-115.5422,-111.3717,-110.8919,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,90,-105.7437,-106.8803,32.34377,-38.48235,-0.001649457,0.3681846,-3.210623E-05,-1.303792,0.3883345,0.3876867,-0.5255854,0.2693825,-2.88956E-05,-0.7795247,-0.6022382,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,100,-106.5432,-115.0999,-114.5963,-2.68081,-108.9846,-111.5689,-101.9487,-34.35862,18.7049,32.85973,-9.264546,-80.8151,-124.5191,-107.9035,-105.8871,-108.9635,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,100,-107.6246,-104.5113,33.2604,-40.2897,0.1296714,-0.2454168,-1.044827,-0.5215303,0.1294892,-0.5137045,0.2627895,-0.5388581,-0.2559926,0.1113861,-0.6022382,0.3390193,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
11,110,-112.1949,-110.1429,-109.9192,-1.705991,-110.4329,-117.3693,-108.8386,-38.74718,15.48439,32.85973,-8.78984,-82.328,-133.684,-122.8228,-120.314,-121.4978,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,110,-108.2964,-107.9332,31.5581,-38.09505,0.1296714,-0.1226972,-0.1306306,0.3911116,-0.129356,0.001376554,-0.2627413,0.134676,-2.88956E-05,0.3341134,-0.1204465,-1.356353,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
12,120,-118.8086,-117.397,-118.7811,-2.071548,-119.1227,-127.3657,-111.518,-38.24564,17.21851,32.24438,-10.56999,-86.99276,-134.8742,-118.2874,-114.114,-114.0254,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,12,120,-108.162,-109.3809,31.5581,-41.45157,-0.3956113,0.1227453,-3.210623E-05,0.6518655,6.742308E-05,-0.7712445,0.1314461,0.134676,-0.5119547,0.3341134,0.1204489,-0.2261049,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
13,130,-115.4416,-114.8581,-114.5963,-2.924515,-111.6398,-117.4927,-105.1385,-33.98245,18.7049,33.96737,-9.739255,-83.08443,-127.6137,-110.1712,-109.5833,-109.8072,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,13,130,-106.9529,-106.6171,30.90336,-39.12783,-0.001649457,0.3681846,0.5223651,-2.247436E-05,-0.3882012,0.1301466,0.3942356,-3.050092E-05,-2.729029E-05,0.2227498,0.3613448,-0.1130781,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
14,140,-110.1507,-107.7248,-107.2114,-1.949696,-107.7777,-114.6542,-105.0109,-35.48711,16.35145,33.10588,-9.620577,-82.07584,-127.6137,-113.0358,-111.6102,-112.0971,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,14,140,-106.8185,-107.2751,31.68904,-39.38602,-0.1329695,0.1227453,-0.2612307,-0.9126613,-0.129356,0.5164576,-0.1313466,0.5387971,-0.6399333,-0.2227048,-0.3613423,-5.458059E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
15,150,-109.7899,-110.1429,-112.0116,-1.949696,-114.7778,-120.9483,-107.4351,-35.98866,18.45717,33.22895,-10.21396,-84.34518,-127.3757,-108.6196,-105.5294,-104.2631,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,15,150,-111.3865,-111.6182,32.86756,-40.1606,0.2609915,-1.227177,-0.1306306,0.6518655,-0.129356,-0.1273935,-0.394136,-0.5388581,0.2559364,0.5568408,-0.9635817,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
16,160,-108.3469,-110.022,-109.3038,-2.437105,-106.5708,-112.4328,-102.3315,-33.98245,19.20036,32.9828,-10.21396,-82.2019,-124.6381,-109.5745,-108.0333,-109.9277,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,160,-115.5514,-113.9872,31.5581,-38.99873,-0.001649457,-0.3681364,0.6529652,0.3911116,0.2589127,0.001376554,-0.9197182,-0.4041516,-2.729029E-05,-0.2227048,0.240897,0.2260471,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
